NAME,COUNTRY,DAY,MONTH,YEAR,ROUTE,NAME OF THE TEAM,LEADER
MR. SHERAP SHERPA,NEPAL,22,5,2008,NORMAL,"""",""""
MR. DAWA GYALJEN SHERPA,NEPAL,22,5,2008,NORMAL,"""",""""
MR. PHURBA CHOTAR SHERPA,NEPAL,22,5,2008,NORMAL,“,“
MR. PASANG TENJING SHERPA,NEPAL,22,5,2008,NORMAL,"""",""""
MR. KAMI RITA SHERPA,NEPAL,22,5,2008,NORMAL,"""",""""
MR. JIT BAHADUR SHERPA,NEPAL,22,5,2008,NORMAL,"""",""""
MR. PHILIP JAMES CRAMPTON,UK,21,5,2008,NORMAL,"ALTITUDE JUNKIES
INTERNATIONAL EVEREST
EXPEDITION 2008","Philip James
Crampton"
MR. LEE JAMES FARMER,UK,24,5,2008,NORMAL,"""",""""
MR. PASANG DAWA SHERPA,NEPAL,24,5,2008,NORMAL,"""",""""
MR.LAKPA NURU SHERPA,NEPAL,24,5,2008,NORMAL,"""",""""
MR. YUICHIRO MIURA,JAPAN,26,5,2008,NORMAL,MIURA EVEREST 2008,Yuichiro Miura
MR. NORIYUKI MURAGUCHI,JAPAN,26,5,2008,NORMAL,"""",""""
MR. KAZUYA IGARASHI,JAPAN,26,5,2008,NORMAL,"""",""""
MR.  NGATEMBA SHERPA,NEPAL,26,5,2008,NORMAL,"""",""""
MR. PHUR GYALZEN SHERPA,NEPAL,26,5,2008,NORMAL,"""",""""
MR. NIMA NURBA SHERPA,NEPAL,26,5,2008,NORMAL,"""",""""
MR. ONGSE SHERPA,NEPAL,26,5,2008,NORMAL,"""",""""
MR. TAMTIN SHERPA,NEPAL,26,5,2008,NORMAL,"""",""""
MR. TASHI SHERPA,NEPAL,26,5,2008,NORMAL,"""",""""
MR. GYALZEN SHERPA,NEPAL,26,5,2008,NORMAL,"""",""""
"M. RICHARDO GUERRERO
MARTINEZ",SPAIN,21,5,2008,NORMAL,CORDOBA EVEREST EXP.,"Richardo Guerrero
Martinez"
MR. JOSE BAENA ROCA,SPAIN,21,5,2008,NORMAL,"""",""""
MR. FRANCES XAVIER ARIAS SUNE,SPAIN,21,5,2008,NORMAL,"""",""""
"MR. XAVIER AYMAR
SANTAMARIA",SPAIN,21,5,2008,NORMAL,"""",""""
MR. JORDI ESTANYOL MARIN,SPAIN,21,5,2008,NORMAL,"""",""""
"MR. JUAN RAMON MADRIAGA
ABAITUA",SPAIN,21,5,2008,NORMAL,"""",""""
MS. CATALINA QUESADA CASTRO,SPAIN,21,5,2008,NORMAL,"""",""""
MR. JORGE A.S. GAVIA,MEXICO,22,5,2008,NORMAL,"""",""""
MR. SAMUEL W. SHORT,UK,22,5,2008,NORMAL,"""",""""
MR. ALEJANDRO J. A. LUGO,MEXICO,22,5,2008,NORMAL,"""",""""
MR. NIMA GYALJEN SHERPA,NEPAL,21,5,2008,NORMAL,"""",""""
MR. TSHIRING DORJE SHERPA,NEPAL,21,5,2008,NORMAL,"""",""""
MR. NINGMA TSHIRING SHERPA,NEPAL,21,5,2008,NORMAL,"""",""""
MR. PEMBA RITA SHERPA,NEPAL,21,5,2008,NORMAL,"""",""""
MR. NIMBA TEMBA SHERPA,NEPAL,22,5,2008,NORMAL,"""",""""
MR. ANSELM B. MURPHY,IRELAND,21,5,2008,NORMAL,"PROJECT HIMALAYA
EVEREST EXPEDITION
2008","James S.
Mcguinness"
MR. DAVID G. COLE,AUSTRALIA,21,5,2008,NORMAL,"""",""""
MR. ANDREW J. FALGATE,UK,21,5,2008,NORMAL,"""",""""
MR. JAMES S. MCGUINNESS,NEW ZEALAND,21,5,2008,NORMAL,"""",""""
MR.  NAMGYAL SHERPA,NEPAL,20,5,2008,NORMAL,"""",""""
MR. CHHEWAND SHERPA,NEPAL,21,5,2008,NORMAL,"""",""""
MR. JANGBU SHERPA,NEPAL,21,5,2008,NORMAL,“,“
MR. PASANG SHERPA,NEPAL,21,5,2008,NORMAL,"""",""""
MR.  DAWA D. BHUTIA,INDIA,22,5,2008,NORMAL,"SAMA MOUNT EVEREST
EXPEDITION II 2008","Shridhar
Pokhariyal"
MR. NIMA WANCHU SHERPA,INDIA,22,5,2008,NORMAL,"""",""""
MS. YANGDI SHERPA,INDIA,22,5,2008,NORMAL,"""",""""
MS.  PHUL MAYA TAMANG,INDIA,22,5,2008,NORMAL,"""",""""
MR. PASANG KARMA SHERPA,NEPAL,22,5,2008,NORMAL,"""",""""
MR. NGIMA GRIMEN SHERPA,NEPAL,22,5,2008,NORMAL,"""",""""
MR. TULSINGH GURUNG,NEPAL,22,5,2008,NORMAL,"""",""""
MR. PASANG SHERPA,NEPAL,22,5,2008,NORMAL,"""",""""
MR. DAWA TENJING SHERPA,NEPAL,22,5,2008,NORMAL,"""",""""
MR. ANG SONA SHERPA,NEPAL,22,5,2008,NORMAL,"""",""""
MR. KENTON E. COOL,UK,24,5,2008,NORMAL,"HG II EVEREST EXP.
2008",Kenton E. Cool
MR. PAUL W. TRUMPERLMANN,SOUTH AFRICA,24,5,2008,NORMAL,"""",""""
MR. YU-CHENG KUO,TAIWAN,24,5,2008,NORMAL,"""",""""
MR. MICHAEL A. HAMILL,USA,24,5,2008,NORMAL,"""",""""
MR. ATUL KARWAL,INDIA,22,5,2008,NORMAL,"SAMAMT. EVEREST
EXP. I 2008",Atul Karwal
MR. SURAJ SING NONGMAITHEM,INDIA,22,5,2008,NORMAL,"""",""""
MR. KUNZANG G. BHUTIA,INDIA,22,5,2008,NORMAL,"""",""""
MR. YADURAM SHARMA,INDIA,22,5,2008,NORMAL,"""",""""
MR. ASHISH K. SING,INDIA,22,5,2008,NORMAL,"""",""""
MR. RAM SINGH,INDIA,22,5,2008,NORMAL,"""",""""
MR.  DAWA GYALE SHERPA,NEPAL,22,5,2008,NORMAL,"""",""""
MR. DENDI SHERPA,NEPAL,22,5,2008,NORMAL,"""",""""
MR. ANG KAJI SHERPA,NEPAL,22,5,2008,NORMAL,"""",""""
MR. PADEN NIMA SHERPA,NEPAL,22,5,2008,NORMAL,"""",""""
MR. TASHI SHERPA,NEPAL,22,5,2008,NORMAL,"""",""""
MR. GYALZE SHERPA,NEPAL,22,5,2008,NORMAL,"""",""""
MR. PETER C. BRITTLETON,UK,23,5,2008,NORMAL,"A.P. EVEREST EXP.
2008",Stuart C. Peacook
MR. MARK A. BROWN,UK,23,5,2008,NORMAL,"""",""""
MR. MATTHEW. J. WILLIAMS,UK,23,5,2008,NORMAL,"""",""""
MR. HEONG P. CHONG,UK,23,5,2008,NORMAL,"""",""""
MR. NURU WANCHHU SHERPA,NEPAL,23,5,2008,NORMAL,"""",""""
MR. DORJEE KHATRI,NEPAL,23,5,2008,NORMAL,"""",""""
MR. DAWA DORJEE SHERPA,NEPAL,23,5,2008,NORMAL,"""",""""
MR. GU HYUNG JAN,SOUTH KOREA,21,5,2008,NORMAL,"2008 KOREA JEONBUK
EVEREST EXP.",Gu Hyung Jan
MR.WOO SECK GO,SOUTH KOREA,21,5,2008,NORMAL,"""",""""
MR. YOUNGJO SON,SOUTH KOREA,22,5,2008,NORMAL,"""",""""
MR. WANGCHUKAL SHERPA,NEPAL,21,5,2008,NORMAL,"""",""""
MR. NGIMA DORJI SHERPA,NEPAL,21,5,2008,NORMAL,"""",""""
MR. BRIAN JONES,CANADA,25,5,2008,NORMAL,CWMS H.G. CANADIAN EVEREST EXP. 2008,Brian Jones
MR. JOHN FURNEAUX,CANADA,25,5,2008,NORMAL,"""",""""
MR. SEBASTIEN SASSEVILLE,CANADA,25,5,2008,NORMAL,"""",""""
MR.  THEN DORJEE SHERPA,NEPAL,25,5,2008,NORMAL,"""",""""
MR. DAWA FINJO LAMA BHOTE,NEPAL,25,5,2008,NORMAL,"""",""""
MR. CHHEDEN SHERPA,NEPAL,25,5,2008,NORMAL,"""",""""
MR. MIGMA DUKPA SHERPA,NEPAL,25,5,2008,NORMAL,"""",""""
MR. ROSHAN BHATTARAI,NEPAL,25,5,2008,NORMAL,"""",""""
MR. PASANG ILA SHERPA,NEPAL,25,5,2008,NORMAL,"""",""""
MR. JUSTIN REESE MERLE,USA,22,5,2009,NORMAL,"2009 IMG  EVEREST
EXPEDITION I.","Justin Reese
Merle"
MR. E DAWES EDDY III,USA,20,5,2009,NORMAL,"""",""""
MR. JONATHAN  MICHAEL SHEA,USA,22,5,2009,NORMAL,"""",""""
MR. SCOTT EDWARD PARAZYNSKI,USA,20,5,2009,NORMAL,"""",""""
MS. PETYA STANIMIROVA KOLCHEVA,BULGARIA,22,5,2009,NORMAL,"""",""""
MR. KAMEN MARINOV KOLCHEV,BULGARIA,22,5,2009,NORMAL,"""",""""
MR. PANURU SHERPA,NEPAL,5,5,2009,NORMAL,"""",""""
MR. DANURU SHERPA,NEPAL,20,5,2009,NORMAL,"""",""""
MR. PASANG RINJI SHERPA,NEPAL,22,5,2009,NORMAL,"""",""""
MR. DANURU SHERPA,NEPAL,22,5,2009,NORMAL,"""",""""
MR. SANDUK DORJEE SHERPA,NEPAL,20,5,2009,NORMAL,"""",""""
MR. MIGMA DORJEE SHERPA,NEPAL,21,5,2009,NORMAL,"""",""""
MR. MIGMA TENZING SHERPA,NEPAL,5,5,2009,NORMAL,"""",""""
MR. PHINJO DORJEE SHERPA,NEPAL,22,5,2009,NORMAL,"""",""""
MR. MIGMA TENZING SHERPA,NEPAL,20,5,2009,NORMAL,"""",""""
MR. KANCHA NURU SHERPA,NEPAL,22,5,2009,NORMAL,"""",""""
MR. PANURU SHERPA,NEPAL,20,5,2009,NORMAL,"""",""""
MR. MICHAEL AARON HAMILL,USA,20,5,2009,NORMAL,"2009 IMG  EVEREST
EXP. II","Michael Aaron
Hamill"
MS  LEE ZHEN ZHEN JANE,SINGAPORE,20,5,2009,NORMAL,"""",""""
MS. SOO MEI YING,SINGAPORE,22,5,2009,NORMAL,"""",""""
MS. LEE LI HUI,SINGAPORE,20,5,2009,NORMAL,"""",""""
MS. TAN YINXUAN,SINGAPORE,20,5,2009,NORMAL,"""",""""
MS. LEE PEH GEE,SINGAPORE,22,5,2009,NORMAL,"""",""""
MR. ANG CHHIRING  SHERPA,NEPAL,20,5,2009,NORMAL,"""",""""
MR. JAMLING BHOTE,NEPAL,20,5,2009,NORMAL,"""",""""
MR. DETENJI SHERPA,NEPAL,22,5,2009,NORMAL,"""",""""
MR. NIMA KARMA SHERPA,NEPAL,22,5,2009,NORMAL,"""",""""
MR. KANCHHA NURU SHERPA,NEPAL,20,5,2009,NORMAL,"""",""""
MR. TOMI PEKKA MYLLYS,FINLAND,20,5,2009,NORMAL,"ARCOF AIRBORNE
RANGER CLUB OF FINLAND
EVEREST EXP. 2009","Tomi Pekka
Myllys"
MR. ANTTI ENSIO INKINEN,FINLAND,20,5,2009,NORMAL,"""",""""
MR.ARRI JERO ALEKSI LEINO,FINLAND,20,5,2009,NORMAL,"""",""""
MR. JUSSI ILARI RAHOMAKI,FINLAND,20,5,2009,NORMAL,"""",""""
MR.ALOIS BOGENSCHUTZ,GERMANY,20,5,2009,NORMAL,"""",""""
MR. PASANG NURU SHERPA,NEPAL,20,5,2009,NORMAL,"""",""""
MR. FRANK NORMAN SLACHMAN,USA,23,5,2009,NORMAL,"ALPINE ASCENTS INT'L
EVEREST EXP. I- 2009",Vernon E. Tejas
MR.MATTHEW WOODRUFF DUPUY,USA,23,5,2009,NORMAL,"""",""""
MS.CAROLYNKAY LECLAIRE,USA,23,5,2009,NORMAL,"""",""""
MR.LAKPA RITA SHERPA,NEPAL,23,5,2009,NORMAL,"""",""""
MR.NINGMA TSHERIN SHERPA,NEPAL,23,5,2009,NORMAL,"""",""""
MR.DAWA NURU SHERPA,NEPAL,23,5,2009,NORMAL,"""",""""
MR.TSHERING DORJEE SHERPA,NEPAL,23,5,2009,NORMAL,"""",""""
MR.FURA KANCHA SHERPA,NEPAL,23,5,2009,NORMAL,"""",""""
MR.PASANG RITA SHERPA,NEPAL,23,5,2009,NORMAL,"""",""""
MR.DAWA TSHERI SHERPA,NEPAL,23,5,2009,NORMAL,"""",""""
MR. GARRETT CHRISTIAN  MADISON,USA,23,5,2009,NORMAL,"ALPINE ASCENTS INT'L
EVEREST EXP. II- 2009.","Garrett Christian
Madison"
MR.JAMES MICHAEL HORST,USA,23,5,2009,NORMAL,"""",""""
MR.ADAM JOHN GEIST,USA,23,5,2009,NORMAL,"""",""""
MR.THOMAS PATRICK BOYER,USA,23,5,2009,NORMAL,"""",""""
MS.LORI MARIE SCHNEIDER,USA,23,5,2009,NORMAL,"""",""""
MR.PHILIPPE MARC HERSCHKE,FRANCE,23,5,2009,NORMAL,"""",""""
MR.STEPHEN JOHN CONEY,UK,23,5,2009,NORMAL,"""",""""
"MR. MICHAELANTHONY MORLES
CARTER",PANAMA,23,5,2009,NORMAL,"""",""""
MR. CHEWANG MIGMA SHERPA,NEPAL,23,5,2009,NORMAL,"""",""""
MR.KAMI RITA SHERPA,NEPAL,23,5,2009,NORMAL,"""",""""
MR.ANG SONA SHERPA,NEPAL,23,5,2009,NORMAL,"""",""""
MS.DARIJA BOSTJANCIC,CROATIA,19,5,2009,NORMAL,"CROATIAN FEMALE
EXP. MT.EVEREST
2009",Darko Berljak
MS.IRIS BOSTJANCIC,CROATIA,19,5,2009,NORMAL,"""",""""
MS.MILENA SIJAN,CROATIA,21,5,2009,NORMAL,"""",""""
MS.ENA VRBEK,CROATIA,21,5,2009,NORMAL,"""",""""
MR.LAKPA N SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.PASANG N SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.PEMBA TENGING SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.NIWANG JANGBU,NEPAL,19,5,2009,NORMAL,"""",""""
MR.LAKPA N. SHERPA,NEPAL,21,5,2009,NORMAL,"""",""""
MR.PETER LOUIS WHITTAKER,USA,19,5,2009,NORMAL,"RAINIER
MOUNTAINEERING, INC.
2009 MT.EVEREST EXP.","Peter Louis
Whittaker"
MS.MELISSA SUE ARNOT,USA,19,5,2009,NORMAL,"""",""""
MR. SETH GRIFFITH WATERFALL,USA,19,5,2009,NORMAL,"""",""""
MR.JOHN PETER GRIBER,USA,19,5,2009,NORMAL,"""",""""
MR.DAVID ALLEN HAHN,USA,19,5,2009,NORMAL,"""",""""
MR. JAMES RYRIE NORTON,USA,23,5,2009,NORMAL,"""",""""
MR. EDMUND KARL VIESTURS,USA,23,5,2009,NORMAL,"""",""""
MR.GERARD MOFFATT,UK,23,5,2009,NORMAL,"""",""""
MR. WILLIAM KENT HARVEY,USA,23,5,2009,NORMAL,"""",""""
MR. PASANG TENDI SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.NIMA GYALZEN SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.PEMBA NURU SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.PASANG DAWA SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.NAWANG LAKPA SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.KAJI SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.MIGMA DUKPA SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.DAWA JONGBU SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.NGA TENJI SHERPA,NEPAL,23,5,2009,NORMAL,"""",""""
MR.ANG KAJI SHERPA,NEPAL,23,5,2009,NORMAL,"""",""""
MR.KAMI NURU SHERPA,NEPAL,23,5,2009,NORMAL,"""",""""
MR.TSERING DORJE SHERPA,NEPAL,23,5,2009,NORMAL,"""",""""
MR.NIMA DORJE TAMANG,NEPAL,23,5,2009,NORMAL,"""",""""
MR. DEAN DOUGLAS STAPLES,NEW ZEALAND,21,5,2009,NORMAL,"HIMALAYAN
EXPERIENCE –
EVEREST TEAM 1","Dean Douglas
Staples"
MR. SHAUN PETER HUSTON,UK,21,5,2009,NORMAL,"""",""""
MR. DAVID MCKINLEY,NEW ZEALAND,23,5,2009,NORMAL,"""",""""
MS. BARBARA SUSANNE BIERLING,GERMANY,21,5,2009,NORMAL,"""",""""
MR. JOHN ARTHUR BLACK,UK,21,5,2009,NORMAL,"""",""""
"MS. MEGAN LOUISE DDELEHANTY,",USA,23,5,2009,NORMAL,"""",""""
"MR. CHRISTOPHER RICHARD DOVELL,",UK,21,5,2009,NORMAL,"""",""""
"MR. LANCE STEVENS FOX,",USA,21,5,2009,NORMAL,"""",""""
MR. JON STEVEN HANSEN,USA,0,0,0,NORMAL,"""",""""
MR. CHRISTOPHER STEPHEN JONES,UK,21,5,2009,NORMAL,"""",""""
MR. CHRISTOPHER CHARLES MACKLIN,UK,23,5,2009,NORMAL,"""",""""
"MR. VALERIO CAMILLO
FRANCESCO MASSIMO",UK,21,5,2009,NORMAL,"""",""""
"MR. DAVID SIMON JOHN TAIT,",UK,5,5,2009,NORMAL,"""",""""
MR.PHURBA TASI DHERPA,NEPAL,5,5,2009,NORMAL,"""",""""
MR.LAKPA NURU SHERPA,NEPAL,21,5,2009,NORMAL,"""",""""
MR.SON DORJI SHERPA,NEPAL,23,5,2009,NORMAL,"""",""""
MR.NNG KARMA SHERPA,NEPAL,21,5,2009,NORMAL,"""",""""
MR.ANG TSHIRING SHERPA,NEPAL,5,5,2009,NORMAL,"""",""""
MR.LHAKPA NURU SHERPA,NEPAL,23,5,2009,NORMAL,"""",""""
MR.NURU GYALGEN SHERPA,NEPAL,21,5,2009,NORMAL,"""",""""
MR.DORJEE SNAM SHERPA,NEPAL,21,5,2009,NORMAL,"""",""""
MR. MARK WYNTON WOODWARD,NEW ZEALAND,23,5,2009,NORMAL,"HIMALAYAN
EXPERIENCE –
EVEREST TEAM 2","Mark Wynton
Woodward"
MR. HIROYUKI KURAOKA,JAPAN,23,5,2009,NORMAL,"""",""""
MR. SHINJI TAMURA,JAPAN,23,5,2009,NORMAL,"""",""""
"MS. ANTOINE PIERRE MARIE
JOSEPH BOULANGER",FRANCE,23,5,2009,NORMAL,"""",""""
MR. ROBERT GRANT KOJETIN,SOUTH AFRICA,23,5,2009,NORMAL,"""",""""
"MR., MOISES NAVA FALCON",MEXICO,21,5,2009,NORMAL,"""",""""
MR. BJORN TOMMY RAMBOL,NORWAY,21,5,2009,NORMAL,"""",""""
MR. SHOKICHI SAITO,JAPAN,23,5,2009,NORMAL,"""",""""
MS. KIYOMI TAKIGUCHI,JAPAN,23,5,2009,NORMAL,"""",""""
MR. TAKENORI YOSHIDA,JAPAN,23,5,2009,NORMAL,"""",""""
MR.KAMI CHHIRING SHERPA,NEPAL,23,5,2009,NORMAL,"""",""""
MR. KASSANG NAMGEL SHERPA,NEPAL,21,5,2009,NORMAL,"""",""""
MR.NIMA TENZING SHERPA,NEPAL,23,5,2009,NORMAL,"""",""""
MR.NGIMA SONA SHERPA,NEPAL,23,5,2009,NORMAL,"""",""""
MR.NGIMA TSHIRING SHERPA,NEPAL,23,5,2009,NORMAL,"""",""""
MR.NGIMA CHHIRI SHERPA,NEPAL,5,5,2009,NORMAL,"""",""""
MR.NIMA SHERPA,NEPAL,21,5,2009,NORMAL,"""",""""
MR.KAMI TCHHIRING SHERPA,NEPAL,21,5,2009,NORMAL,"""",""""
MR. ADRIAN JOHN BALLINGER,UK,21,5,2009,NORMAL,"HIMALAYAN
EXPERIENCE –
EVEREST TEAM 3","Adrian John
Ballinger"
MR. MATTHEW GREEN,UK,23,5,2009,NORMAL,"""",""""
MS. BRUCE KENT PARKER,USA,23,5,2009,NORMAL,"""",""""
MR. ZI QIANG QIU,USA,23,5,2009,NORMAL,"""",""""
MR. JOSEPH PAUL ROBINSON,USA,23,5,2009,NORMAL,"""",""""
MS. ALEC JOSEPH TURNER,USA,23,5,2009,NORMAL,"""",""""
MR. MARK ANTHONEY WHETU,NEW ZEALAND,23,5,2009,NORMAL,"""",""""
MR. EDMUND PHILIP WARDLE,UK,20,5,2009,NORMAL,"""",""""
MR.PASANG KAMI SHERPA,NEPAL,23,5,2009,NORMAL,"""",""""
MR.PASANG NGIMA SHERPA,NEPAL,21,5,2009,NORMAL,"""",""""
MR.PEMBA NURU SHERPA,NEPAL,23,5,2009,NORMAL,"""",""""
MR.RITA DORJI SHERPA,NEPAL,23,5,2009,NORMAL,"""",""""
MR.SHERA GYALZEN SHERPA,NEPAL,21,5,2009,NORMAL,"""",""""
MR.TASI TSHERING SHERPA,NEPAL,21,5,2009,NORMAL,"""",""""
MR.TASI TSHERING SHERPA,NEPAL,23,5,2009,NORMAL,"""",""""
MR.TASI TSHERING SHERPA,NEPAL,21,5,2009,NORMAL,"""",""""
MR.DANIEL KEREN,ISRAEL,19,5,2009,NORMAL,"PEAK FREAK EXP.
2009","Timothy Leonard
Rippel"
MR.TODD LAVIGNE,CANADA,19,5,2009,NORMAL,"""",""""
MR.JAN PFLUGRADT,GERMANY,19,5,2009,NORMAL,"""",""""
"MR. MAURICIO GERARDO LOPEZ
ANAYA",MEXICO,19,5,2009,NORMAL,"""",""""
MR.MINGMAR  SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.LAKPA BHOTE,NEPAL,19,5,2009,NORMAL,"""",""""
MR.ZANGBU SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.RIDAR ENOME BHOTE,NEPAL,19,5,2009,NORMAL,"""",""""
MR.NGIMA SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.PALDEN NAMGYA SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.TASHI TUNDU SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.SONAM FINJO SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR. ANG NAMGYA SHERPA,NEPAL,19,5,2009,NORMAL,“,“
MR.  WHANG CHEUNG SIK,SOUTH KOREA,19,5,2009,NORMAL,"2009 INCHON EVEREST
EXPEDITION, KOREA",An Byung Ho
MR. PARK IN SOO,SOUTH KOREA,19,5,2009,NORMAL,"""",""""
MR. KIM JONG HO,SOUTH KOREA,19,5,2009,NORMAL,"""",""""
MR. KIM DONG EON,SOUTH KOREA,19,5,2009,NORMAL,"""",""""
MR. LEE KANG MOK,SOUTH KOREA,19,5,2009,NORMAL,"""",""""
MR.TASHI SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.SANU SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.WANGCHUKAL SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.KARMA SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.NIMA CHHIRING SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR. YOUNG SEOK PARK,SOUTH KOREA,20,5,2009,NORMAL,"2009 PARK'S EVEREST
SOUTH-WEST FACE
EXP.",YoungSeokPark
MR. JIN JAE CHANG,SOUTH KOREA,20,5,2009,NORMAL,"""",""""
MR. SHIN DONG MIN,SOUTH KOREA,20,5,2009,NORMAL,"""",""""
MR. KANG KI SEOK,SOUTH KOREA,20,5,2009,NORMAL,"""",""""
MR. DAVID WILLIAM HAMILTON,UK,19,5,2009,NORMAL,"ADVENTURE
CONSULTANTS EVEREST
EXP. 2009","David William
Hamilton"
MR. ARTHUR HAMISH FULTON,UK,19,5,2009,NORMAL,"""",""""
MR. NEILL PHILIIP JOHANSON,AUSTRALIA,19,5,2009,NORMAL,"""",""""
MR. SASHKO KEDEV,MACEDONIA,19,5,2009,NORMAL,"""",""""
MR. CARSTEN BENNIKE,DENMARK,19,5,2009,NORMAL,"""",""""
MR.CHHULDIM SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.PASANG TENJING SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.DA JANGBU SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.PEMBA CHHOTI SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.SANGE DORJEE SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.PASANG BHOTE,NEPAL,19,5,2009,NORMAL,"""",""""
MR. NAWANG CHONGBA SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.TEMBA SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.PHU TSHERING SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR. KUL BAHADUR THAPA MAGAR,NEPAL,19,5,2009,NORMAL,"""",""""
MS. ADELE MARIE PENNINGTON,UK,20,5,2009,NORMAL,"JAGGED GLOBE
EVEREST EXP.  2009","Adele marie
Pennington"
MS. AMANDA MARY RICHMOND,UK,20,5,2009,NORMAL,"""",""""
MR.DAVID CRAVEN,UK,0,0,0,NORMAL,"""",""""
MR.KEVIN ROGER MOSES,UK,19,5,2009,NORMAL,"""",""""
MR. NEIL TAYLOR,UK,0,0,0,NORMAL,"""",""""
MR. WILLIAM ROYSE GOODLAND,UK,19,5,2009,NORMAL,"""",""""
"MR.DOUGLAS HUGH RICHARD
WAYMARK",UK,19,5,2009,NORMAL,"""",""""
MR.NICOLAS JOHN ROBERTSON,UK,19,5,2009,NORMAL,"""",""""
MR.GILLERMO BENEGAS,USA,19,5,2009,NORMAL,"""",""""
MR.CHRISTOPHER THOMAS GRUBB,UK,20,5,2009,NORMAL,"""",""""
MR. MIGMA TSHIRI SHERPA,NEPAL,20,5,2009,NORMAL,“,“
MR.PEMA TSHIRI SHERPA,NEPAL,20,5,2009,NORMAL,"""",""""
MR.PEMA TSHIRI SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.CHHIRING PEMBA SHERPA,NEPAL,20,5,2009,NORMAL,"""",""""
MR.FURBA SHERPA,NEPAL,20,5,2009,NORMAL,"""",""""
MR.THUNDU SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.TASHI SHERPA,NEPAL,20,5,2009,NORMAL,"""",""""
MR.LILA BAHADUR BASNET,NEPAL,20,5,2009,NORMAL,"""",""""
MR. CHI SING JOHN TSANG,CHINA,19,5,2009,NORMAL,"INTERNATIONAL
ADVENTURE ALTER.
EVEREST EXP.","Gavin Clifford
Bate"
MR. MARCUS SCARTH,USA,19,5,2009,NORMAL,"""",""""
MR. STEPHEN KEER WRAITH,USA,19,5,2009,NORMAL,"""",""""
MR. ABDULKHALIM ELMEZOV,USA,19,5,2009,NORMAL,"""",""""
MR.JYAMCHANG BHOTE,NEPAL,19,5,2009,NORMAL,"""",""""
MR.CHHITIT THIDUK BHOTE,NEPAL,19,5,2009,NORMAL,"""",""""
MR.LHAKPA CHERING SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.PASANG DAWA SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.LHAKPA SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.TSHERING PADE BHOTE,NEPAL,19,5,2009,NORMAL,"""",""""
MR.NIMA GOMBU SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR.PEMBA RINJIN SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
MR. MIKA SIMULI MANSIKKA,FINLAND,19,5,2009,NORMAL,"INTERNATIONAL EVEREST
EXPEDITION 2009","Mika Simuli
Mansikka"
MR. DALE RICHARD WAGNER,USA,19,5,2009,NORMAL,"""",""""
MR. RICHARD  THOMAS PATTISON,UK,19,5,2009,NORMAL,"""",""""
MR. VIKRAM NEAL SAHNEY,USA,19,5,2009,NORMAL,"""",""""
MR. DAVID  JOHN  FAIRWEATHER,UK,19,5,2009,NORMAL,"""",""""
MR. GAURAV SHARMA,INDIA,20,5,2009,NORMAL,"""",""""
MR. TAPI MRA,INDIA,21,5,2009,NORMAL,"""",""""
MR.TENJI SHERPA,NEPAL,19,5,2009,NORMAL,"""",""""
